Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Especificaciones_Tec_1 (product.metafields.custom.caracteristicas),Caracteristica_1 (product.metafields.custom.caracteristica_1),Caracteristica_2 (product.metafields.custom.caracteristica_2),Característica_3 (product.metafields.custom.caracteristica_3),Característica_4 (product.metafields.custom.caracteristica_4),Característica_5 (product.metafields.custom.caracteristica_5),Caracteristica_6 (product.metafields.custom.caracteristica_6),Color (product.metafields.custom.color),Descripción (product.metafields.custom.descripcion),Dimensiones (product.metafields.custom.dimensiones),Peso (kg) (product.metafields.custom.peso_kg),SKU (product.metafields.custom.sku),Titulo_1 (product.metafields.custom.titulo_1),Titulo_2 (product.metafields.custom.titulo_2),Titulo_3 (product.metafields.custom.titulo_3),Titulo_4 (product.metafields.custom.titulo_4),Titulo_5 (product.metafields.custom.titulo_5),Titulo_6 (product.metafields.custom.titulo_6),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Automatización (product.metafields.shopify.automation),Tipo de entrada de café (product.metafields.shopify.coffee-input-type),Color (product.metafields.shopify.color-pattern),Tipo de caldera de máquina espresso (product.metafields.shopify.espresso-boiler-type),Material (product.metafields.shopify.material),Sistema de espumado de leche (product.metafields.shopify.milk-frothing-system),Tipo de montura (product.metafields.shopify.mounting-type),Fuente de alimentación (product.metafields.shopify.power-source),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/c6ac9c9d-60f7-4bd6-845d-c1bdb13a3906.jpg?v=1775074604,6,jpg_1500x1500_67893142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,Horno Freidora de Aire Philips Serie 5000 de 12L - AI551/06,"El Horno Freidora de Aire Philips AI551/06 es el aliado perfecto para cocinar de forma práctica, saludable y deliciosa. Gracias a su tecnología Rapid CombiAir, combina aire caliente y cocción precisa para obtener resultados crujientes por fuera y suaves por dentro, con hasta 60% menos grasa.<br>Cuenta con 12 funciones preestablecidas, incluyendo freír, hornear, asar, recalentar y deshidratar, lo que te permite preparar desde papas fritas hasta postres o carnes al punto perfecto.<br>Su pantalla táctil intuitiva y su potencia de 1800 W garantizan un control total del tiempo y la temperatura, mientras que su capacidad de 14 litros permite cocinar porciones grandes para toda la familia.<br>Además, su diseño moderno en acero inoxidable encaja perfectamente en cualquier cocina, brindando rendimiento, estilo y versatilidad en un solo equipo.",Philips,Sin categoría,"",Horno Freidora de Aire,true,Title,Default Title,,,,,,,,AI551/06,8600.0,shopify,37,deny,manual,2999.00,3999.00,true,false,,,,,'8720389072512,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/c8617406-21a6-4f81-bfa3-e2011a042ebd.jpg?v=1762468652,1,jpg_1500x1500_67891130,false,,,,,,,,,,,,,,,,,,,,,,,,,AI551/06,,,,,,,,,,,,,,,,,,kg,,,active
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/7e5dc897-27a3-439f-ada9-e8da0fd1a611.jpg?v=1762468651,2,jpg_1500x1500_67891129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/4a79e2a8-6f04-4370-8a02-4c5ed7d1b580.jpg?v=1762468652,3,jpg_1500x1500_67891128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/ffaa0901-56ca-4217-86d1-b6c0f80ac416.jpg?v=1762468652,4,jpg_1500x1500_67891127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/dd57a7c7-aa79-42e6-b50d-5a83c2ee84ab.jpg?v=1762468652,5,jpg_1500x1500_67891083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/3e2e9c90-e172-464f-a178-f4d62975a842.jpg?v=1762468652,6,jpg_1500x1500_67891081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horno-freidora-de-aire-philips-serie-5000-de-12l-ai551-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/eeeadb2d-e0a1-49fc-a3ae-31fed70c2497.jpg?v=1762468652,7,jpg_1500x1500_67891078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,Licuadora Philips Serie 3000 de 1200 W con Jarra de Tritan y Vaso ToGo - HR2263/93,"La licuadora Philips HR2263/93 está equipada con un motor de 1200 W, que garantiza licuados rápidos y eficientes. Incorpora cuchillas con tecnología ProBlend y ofrece hasta 12 velocidades, además de la función Pulse, lo que permite un control preciso para lograr desde texturas suaves hasta mezclas densas.<br>Su jarra con diseño tipo diamante de 3 L y el vaso ToGo de 710 ml, ambos fabricados en Tritán y libres de BPA, son aptos para lavavajillas, lo que la hace ideal para el uso diario.<br>Además, integra un sistema de seguridad que evita el funcionamiento si no está correctamente ensamblada, y cuenta con patas antideslizantes para mayor estabilidad.<br>Gracias a sus cuchillas adicionales, puedes preparar una variedad de bebidas y llevarlas contigo fácilmente en el vaso transportador ToGo.",Philips,Sin categoría,"","Electrodoméstico, Licuadoras, Licuadoras y procesadores, Nuevos",true,Title,Default Title,,,,,,,,HR2263/93,2540.0,shopify,29,deny,manual,1649.00,1999.00,true,false,,,,,'8720389067846,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/67231765-2274-426e-bbfc-9260c4ca5173.jpg?v=1762493214,1,jpg_1500x1500_67893281,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/d83e4f6a-2d06-4bec-83cc-7c3e1e5e5f52.jpg?v=1762493214,2,jpg_1500x1500_67893282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/212d0fdd-6790-4413-8380-e7465a4ca3d2.jpg?v=1762493214,3,jpg_1500x1500_67893286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/5dffd343-8b06-426f-bd6d-eb80d6c321c2.jpg?v=1762493214,4,jpg_1500x1500_67893287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/207d17f3-525d-4ef0-a380-ed0ac718cc4c.jpg?v=1762493214,5,jpg_1500x1500_67893291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-y-vaso-togo-hr2263-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/013fcb9e-31bd-4d89-9690-29b232cecacc.jpg?v=1762493214,6,jpg_1500x1500_67893292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafetera-espresso-philips-barista-semiautomaica-psa3218-01,Cafetera Espresso Philips Barista Semiautomáica - PSA3218/01,"La Philips Barista Brew PSA3218/01 es una cafetera espresso semiautomática pensada para quienes desean llevar la experiencia del barista a casa, con estilo y precisión. Su diseño metálico de inspiración europea no solo destaca por su estética profesional, sino que también ofrece un rendimiento excepcional. Equipada con un portafiltro de 58 mm de acero inoxidable, esta máquina garantiza una extracción uniforme y llena de sabor. Gracias al control de temperatura PID y al sistema de preinfusión, cada taza mantiene una estabilidad térmica óptima para un espresso intenso y balanceado.<br>El molinillo integrado permite elegir entre 15 niveles de molienda, adaptándose a diferentes tipos de grano y preferencias personales. Además, incluye un prensador calibrado que asegura una compactación perfecta para cada extracción. El depósito de agua de 2.5 L y el contenedor para 250 g de granos permiten preparar varias tazas sin recarga constante. La jarra de leche de 450 mL y la varilla de vapor facilitan la creación de espuma suave y cremosa, ideal para capuchinos o lattes.<br>Con una presión de 15 bar y una potencia de 1350 W, esta cafetera semiautomática ofrece control, calidad y una experiencia de café auténtica, ideal para quienes valoran el proceso tanto como el resultado.",Philips,Sin categoría,"","Bebidas, Cafeteras, Electrodoméstico, Lanzamiento, Nuevos",true,Title,Default Title,,,,,,,,PSA3218/01,8400.0,shopify,29,deny,manual,16099.00,22999.00,true,false,,,,,'196592000969,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/6c3bf3d1-47a7-48ca-96c7-ddd564c247bc.jpg?v=1762492630,1,jpg_1500x1500_67893216,false,,,,,,,,,,,,,,,,,,,,,,,,,PSA3218/01,,,,,,,,,,,,,,,,,,kg,,,active
cafetera-espresso-philips-barista-semiautomaica-psa3218-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/7eafa45c-8542-4a09-91ed-0dd8ac3ddc6b.jpg?v=1762492630,2,jpg_1500x1500_67893217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
